Attrition,Business,CF Age Band,CF Attrition Lable,Department,Education Field,Emp No,Employee Number,Gender,Job Role,Marital Status,Overtime,Over 18,Training Times,Traning Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Education ,EmployeeCount,Environment Satisfaction,Hourly Rate,Job Involvement,job Level,Job  Satisfaction,Monthly income,Monthly Rate ,Num Companies Worked,Percent Sallary Hike ,Performance Rating Relationship Satisfactior,Standard Hours,Stock Optional Level,total work years,Work
No,Corporate,10-19,Attrited,HR,Arts,345,1345,Male,Executive,Married,Yes,Y,10,3,-2,0,18,No,472,48,5,3,1,3,65,1,2,2,1060,12222,4,7,1,80,0,40,44
Yes,Corporate,10-19,Current,IT,Science,346,1346,Male,Engineer,Married,Yes,Y,6,3,-2,0,18,Yes,450,11,5,1,1,2,63,2,3,3,15240,9479,6,14,4,80,3,38,85
No,Corporate,20-29,Attrited,Sales,Commerce,347,1347,Female,Engineer,Single,No,Y,9,9,-2,0,22,Yes,884,15,4,3,1,1,55,4,4,1,17872,10421,6,22,2,80,2,9,1
No,Corporate,50-59,Current,Finance,Science,348,1348,Female,Executive,Married,No,Y,7,9,-2,0,58,Yes,151,14,2,4,1,1,65,1,1,1,4308,19889,2,16,1,80,2,13,33
No,Corporate,30-39,Attrited,IT,Commerce,349,1349,Male,Manager,Divorced,No,Y,6,6,-2,0,39,No,154,37,4,4,1,3,55,4,2,2,17837,9420,0,7,3,80,1,17,92
No,Corporate,20-29,Current,HR,Arts,350,1350,Female,Engineer,Married,Yes,Y,5,4,-2,0,22,No,520,44,2,3,1,2,89,1,3,3,9630,10975,3,8,2,80,0,16,75
Yes,Corporate,50-59,Attrited,Finance,Medical,351,1351,Male,Analyst,Divorced,Yes,Y,6,5,-2,0,53,Yes,743,1,2,2,1,3,27,3,4,3,10095,17329,7,21,4,80,1,26,24
No,Corporate,50-59,Current,Finance,Medical,352,1352,Male,Engineer,Single,No,Y,10,9,-2,0,55,No,472,15,4,2,1,2,57,1,5,3,11264,10489,9,2,5,80,2,18,94
No,Corporate,30-39,Attrited,HR,Engineering,353,1353,Male,Executive,Single,No,Y,3,4,-2,0,36,No,722,3,4,5,1,2,100,2,3,3,11223,9486,10,19,1,80,0,25,78
No,Corporate,20-29,Attrited,Finance,Commerce,354,1354,Female,Executive,Divorced,Yes,Y,10,2,-2,0,25,No,278,14,1,4,1,1,59,4,5,2,12225,3612,3,5,1,80,1,18,47
Yes,Corporate,20-29,Attrited,HR,Engineering,355,1355,Male,Analyst,Divorced,Yes,Y,7,7,-2,0,25,No,646,19,4,2,1,1,68,1,4,4,17711,3853,8,11,4,80,2,2,93
No,Corporate,50-59,Attrited,R&D,Medical,356,1356,Female,Engineer,Married,No,Y,8,8,-2,0,55,No,436,3,1,4,1,4,55,2,5,2,14130,3524,9,21,5,80,1,16,74
No,Corporate,30-39,Attrited,IT,Science,357,1357,Female,Engineer,Married,No,Y,8,8,-2,0,36,Yes,379,35,1,3,1,2,82,4,1,3,14618,1906,10,7,1,80,1,32,32
Yes,Corporate,40-49,Attrited,R&D,Engineering,358,1358,Male,Manager,Divorced,Yes,Y,10,7,-2,0,49,No,772,33,1,5,1,2,45,2,1,4,18003,3020,4,25,5,80,1,33,28
No,Corporate,20-29,Current,R&D,Engineering,359,1359,Male,Engineer,Married,No,Y,6,2,-2,0,27,No,621,15,3,2,1,4,83,3,2,1,13696,3935,5,8,3,80,3,32,14
Yes,Corporate,30-39,Attrited,Finance,Science,360,1360,Male,Clerk,Single,No,Y,2,5,-2,0,34,No,415,2,4,5,1,2,85,4,1,1,7816,6541,6,5,2,80,2,6,36
Yes,Corporate,40-49,Attrited,HR,Medical,361,1361,Male,Clerk,Married,Yes,Y,2,0,-2,0,42,Yes,850,23,1,1,1,2,98,1,3,3,10183,1825,0,17,1,80,0,30,99
Yes,Corporate,50-59,Attrited,HR,Commerce,362,1362,Female,Executive,Divorced,No,Y,4,10,-2,0,50,No,717,28,4,3,1,3,28,4,5,3,18569,11196,9,17,5,80,1,5,13
Yes,Corporate,50-59,Current,Finance,Arts,363,1363,Female,Analyst,Married,Yes,Y,2,9,-2,0,53,No,999,21,3,4,1,1,23,4,4,4,7209,3598,8,25,5,80,2,6,29
Yes,Corporate,30-39,Attrited,HR,Commerce,364,1364,Male,Engineer,Married,No,Y,2,1,-2,0,30,No,621,45,2,1,1,4,21,3,1,1,1557,7217,10,1,3,80,0,30,64
No,Corporate,40-49,Current,Sales,Engineering,365,1365,Female,Engineer,Divorced,Yes,Y,5,5,-2,0,41,No,432,18,2,2,1,4,38,1,1,2,3765,14967,3,7,4,80,0,1,22
Yes,Corporate,50-59,Attrited,Finance,Medical,366,1366,Female,Manager,Married,No,Y,7,1,-2,0,58,No,782,21,3,4,1,2,44,2,5,3,17102,4375,7,24,1,80,1,11,34
Yes,Corporate,50-59,Attrited,Sales,Science,367,1367,Female,Analyst,Single,Yes,Y,5,4,-2,0,59,Yes,455,45,3,5,1,2,89,2,2,1,1366,19613,5,5,5,80,1,39,19
No,Corporate,20-29,Current,R&D,Science,368,1368,Female,Engineer,Single,No,Y,2,1,-2,0,23,No,541,29,5,3,1,2,87,2,4,4,13056,14056,3,9,1,80,0,2,70
Yes,Corporate,30-39,Attrited,Sales,Science,369,1369,Female,Executive,Divorced,No,Y,1,8,-2,0,35,Yes,873,9,1,3,1,1,80,4,1,3,5549,16336,3,13,4,80,3,0,46
No,Corporate,20-29,Attrited,HR,Commerce,370,1370,Female,Engineer,Married,Yes,Y,7,2,-2,0,21,No,591,8,2,4,1,4,89,4,5,2,9173,19200,2,21,2,80,2,26,66
Yes,Corporate,40-49,Current,Sales,Science,371,1371,Male,Analyst,Single,No,Y,1,4,-2,0,48,Yes,245,46,4,3,1,1,47,3,2,3,2125,12400,0,18,4,80,2,22,47
Yes,Corporate,50-59,Current,Finance,Medical,372,1372,Male,Analyst,Single,No,Y,3,1,-2,0,54,Yes,926,7,2,5,1,2,59,2,1,2,4434,19941,8,19,2,80,2,9,76
No,Corporate,50-59,Attrited,R&D,Medical,373,1373,Female,Executive,Single,Yes,Y,1,7,-2,0,52,No,195,6,4,4,1,3,98,2,3,2,5200,5056,6,8,2,80,0,26,35
No,Corporate,20-29,Attrited,HR,Arts,374,1374,Female,Manager,Married,No,Y,7,6,-2,0,23,No,124,38,1,2,1,2,53,4,5,3,2272,11126,10,19,3,80,1,22,26
No,Corporate,20-29,Current,HR,Medical,375,1375,Male,Clerk,Single,No,Y,3,2,-2,0,25,Yes,500,35,4,3,1,1,83,2,3,3,7849,18128,2,5,3,80,1,2,8
Yes,Corporate,30-39,Current,Sales,Medical,376,1376,Female,Clerk,Divorced,Yes,Y,4,0,-2,0,31,No,806,5,5,2,1,3,34,3,2,4,1710,10171,8,16,4,80,2,3,60
Yes,Corporate,40-49,Attrited,Finance,Engineering,377,1377,Male,Clerk,Married,Yes,Y,8,8,-2,0,49,No,605,33,3,5,1,1,79,4,4,1,6716,9332,6,3,4,80,2,28,86
Yes,Corporate,40-49,Current,Sales,Commerce,378,1378,Female,Clerk,Divorced,No,Y,1,5,-2,0,41,Yes,939,36,2,1,1,1,97,3,4,3,19339,8468,8,6,4,80,3,21,20
Yes,Corporate,20-29,Attrited,Sales,Arts,379,1379,Male,Executive,Divorced,Yes,Y,3,4,-2,0,20,No,289,27,5,4,1,2,84,1,4,3,10016,14155,9,1,3,80,3,1,78
No,Corporate,30-39,Current,IT,Science,380,1380,Female,Manager,Divorced,Yes,Y,4,9,-2,0,36,No,973,32,2,2,1,1,80,4,4,2,8280,19286,2,5,3,80,2,21,25
Yes,Corporate,40-49,Current,Sales,Arts,381,1381,Male,Engineer,Divorced,No,Y,7,1,-2,0,47,No,698,2,5,3,1,2,31,1,5,3,9135,15215,0,19,4,80,3,5,11
No,Corporate,50-59,Attrited,IT,Commerce,382,1382,Female,Clerk,Single,Yes,Y,7,3,-2,0,51,Yes,867,19,3,2,1,4,85,2,4,1,4362,11988,2,22,1,80,2,39,68
Yes,Corporate,50-59,Current,HR,Arts,383,1383,Male,Analyst,Single,No,Y,4,2,-2,0,55,Yes,886,2,3,2,1,2,58,4,5,1,16909,7823,4,8,3,80,1,14,60
No,Corporate,20-29,Attrited,HR,Commerce,384,1384,Female,Engineer,Single,Yes,Y,1,0,-2,0,29,Yes,501,30,2,2,1,1,100,1,4,4,3093,13014,1,10,5,80,0,1,33
No,Corporate,30-39,Attrited,Finance,Arts,385,1385,Female,Clerk,Single,Yes,Y,10,7,-2,0,32,Yes,646,5,5,2,1,1,80,4,5,2,13122,9750,3,9,1,80,3,25,20
Yes,Corporate,40-49,Current,R&D,Commerce,386,1386,Male,Engineer,Single,No,Y,8,1,-2,0,41,Yes,831,37,5,4,1,4,57,3,1,1,7692,15697,10,18,4,80,1,20,85
Yes,Corporate,20-29,Attrited,Sales,Commerce,387,1387,Female,Clerk,Married,No,Y,10,2,-2,0,23,No,226,23,1,5,1,3,51,3,5,1,14573,6792,6,9,2,80,3,6,7
No,Corporate,20-29,Current,Finance,Engineering,388,1388,Male,Clerk,Single,Yes,Y,8,7,-2,0,22,No,748,28,4,1,1,4,42,1,2,1,17765,1914,10,5,5,80,0,26,47
Yes,Corporate,20-29,Current,Sales,Engineering,389,1389,Female,Executive,Single,No,Y,2,5,-2,0,26,Yes,822,25,5,5,1,3,58,3,5,1,16355,18735,1,16,5,80,3,30,29
Yes,Corporate,40-49,Attrited,Finance,Science,390,1390,Female,Executive,Single,No,Y,3,8,-2,0,40,Yes,457,14,5,1,1,3,31,2,3,2,15269,10379,8,16,2,80,2,28,24
Yes,Corporate,40-49,Attrited,HR,Commerce,391,1391,Male,Executive,Divorced,No,Y,1,0,-2,0,47,Yes,774,44,5,2,1,1,49,1,1,3,14292,6089,4,21,5,80,2,11,10
No,Corporate,20-29,Current,Finance,Engineering,392,1392,Male,Clerk,Married,Yes,Y,4,0,-2,0,24,Yes,426,26,2,2,1,1,95,1,5,2,9908,7800,8,12,4,80,3,34,64
Yes,Corporate,50-59,Attrited,Finance,Commerce,393,1393,Male,Engineer,Single,Yes,Y,6,7,-2,0,54,Yes,374,18,4,2,1,1,22,2,4,1,1925,16336,1,5,1,80,3,3,66
Yes,Corporate,50-59,Attrited,HR,Science,394,1394,Male,Clerk,Divorced,Yes,Y,4,7,-2,0,58,Yes,890,45,2,4,1,2,69,1,3,4,16067,16204,0,17,5,80,2,14,49
Yes,Corporate,60-69,Attrited,Finance,Medical,395,1395,Male,Clerk,Married,No,Y,7,9,-2,0,60,Yes,668,29,4,5,1,2,71,3,2,4,10277,12154,9,6,1,80,1,20,82
No,Corporate,30-39,Attrited,Finance,Science,396,1396,Male,Manager,Single,No,Y,6,1,-2,0,39,No,638,33,3,2,1,4,41,2,2,3,1687,6709,6,1,5,80,0,12,69
Yes,Corporate,50-59,Current,Finance,Medical,397,1397,Female,Manager,Married,Yes,Y,3,8,-2,0,57,No,327,39,3,2,1,2,89,3,1,3,5650,12670,8,10,1,80,0,7,87
No,Corporate,20-29,Current,IT,Engineering,398,1398,Female,Analyst,Divorced,Yes,Y,2,3,-2,0,20,No,645,47,5,1,1,1,83,2,4,1,12304,2397,10,8,5,80,2,36,14
Yes,Corporate,20-29,Current,IT,Arts,399,1399,Female,Engineer,Divorced,Yes,Y,2,4,-2,0,26,No,433,24,3,5,1,4,68,3,1,2,17808,15177,1,14,4,80,0,37,85
Yes,Corporate,30-39,Attrited,Finance,Engineering,400,1400,Female,Clerk,Married,No,Y,9,5,-2,0,32,No,808,16,4,1,1,2,79,4,5,4,10018,2064,0,8,4,80,1,16,79
Yes,Corporate,20-29,Attrited,HR,Arts,401,1401,Male,Engineer,Single,No,Y,3,8,-2,0,26,Yes,187,15,2,4,1,1,72,1,5,3,1488,7411,1,1,5,80,3,37,79
No,Corporate,50-59,Attrited,IT,Science,402,1402,Male,Analyst,Divorced,Yes,Y,8,10,-2,0,59,Yes,798,36,4,4,1,2,27,4,3,4,9285,6183,1,0,5,80,1,28,5
Yes,Corporate,30-39,Attrited,Sales,Commerce,403,1403,Female,Manager,Single,No,Y,2,8,-2,0,37,Yes,546,8,5,1,1,2,78,4,1,1,18455,14363,10,8,3,80,1,37,46
Yes,Corporate,30-39,Current,IT,Medical,404,1404,Male,Engineer,Married,Yes,Y,10,10,-2,0,30,No,458,10,5,3,1,4,78,1,4,2,15711,19547,4,12,2,80,2,0,90
No,Corporate,20-29,Attrited,R&D,Science,405,1405,Male,Analyst,Married,No,Y,3,1,-2,0,28,No,735,30,1,5,1,1,90,2,1,3,14633,9862,8,21,1,80,3,30,6
Yes,Corporate,20-29,Current,HR,Arts,406,1406,Female,Clerk,Married,No,Y,2,10,-2,0,27,No,806,49,4,2,1,3,53,2,1,1,10796,10764,10,4,5,80,3,22,30
No,Corporate,10-19,Attrited,Sales,Commerce,407,1407,Male,Clerk,Married,No,Y,1,8,-2,0,18,No,983,20,3,1,1,1,54,2,4,2,5812,12690,5,11,2,80,3,30,63
No,Corporate,30-39,Current,HR,Arts,408,1408,Male,Clerk,Married,No,Y,2,9,-2,0,34,Yes,101,46,3,4,1,1,22,3,2,2,13755,17065,7,17,2,80,2,32,61
Yes,Corporate,20-29,Attrited,Finance,Arts,409,1409,Female,Clerk,Divorced,Yes,Y,9,5,-2,0,22,Yes,553,20,2,2,1,4,48,4,3,4,13476,17877,10,7,3,80,2,6,34
Yes,Corporate,20-29,Attrited,Sales,Medical,410,1410,Male,Executive,Divorced,No,Y,3,0,-2,0,24,Yes,518,21,3,1,1,1,54,2,1,1,19994,6485,5,20,3,80,3,17,54
Yes,Corporate,50-59,Attrited,Sales,Arts,411,1411,Male,Executive,Single,Yes,Y,9,9,-2,0,50,No,809,41,5,2,1,2,84,1,3,2,7090,12829,1,18,3,80,1,15,76
Yes,Corporate,30-39,Attrited,Sales,Commerce,412,1412,Male,Manager,Divorced,Yes,Y,6,1,-2,0,30,No,426,27,3,5,1,3,59,1,2,4,18734,7178,5,8,5,80,3,5,48
No,Corporate,30-39,Attrited,R&D,Arts,413,1413,Female,Engineer,Married,No,Y,9,8,-2,0,30,No,803,2,2,4,1,2,92,4,1,1,12210,14652,1,1,2,80,2,3,0
Yes,Corporate,30-39,Attrited,R&D,Commerce,414,1414,Female,Clerk,Single,Yes,Y,7,8,-2,0,30,Yes,429,23,4,5,1,4,46,2,5,2,6244,5609,9,2,2,80,2,17,4
No,Corporate,20-29,Current,IT,Arts,415,1415,Female,Engineer,Single,No,Y,3,7,-2,0,25,Yes,362,5,5,1,1,3,47,3,4,1,4554,13595,9,24,5,80,3,38,39
Yes,Corporate,20-29,Current,Finance,Medical,416,1416,Female,Clerk,Divorced,Yes,Y,6,2,-2,0,23,Yes,260,37,2,3,1,3,79,1,1,4,5238,14910,4,25,1,80,3,35,8
Yes,Corporate,40-49,Current,IT,Arts,417,1417,Male,Clerk,Divorced,Yes,Y,4,1,-2,0,47,Yes,634,35,4,2,1,3,75,2,2,3,15408,12090,10,7,4,80,2,17,96
No,Corporate,40-49,Attrited,R&D,Science,418,1418,Female,Manager,Single,No,Y,4,3,-2,0,42,No,736,37,5,2,1,2,37,4,5,4,9945,14164,6,8,3,80,3,37,50
No,Corporate,50-59,Attrited,IT,Engineering,419,1419,Female,Manager,Married,No,Y,5,6,-2,0,58,No,619,3,1,1,1,4,42,2,2,1,2741,13981,5,11,5,80,0,32,52
No,Corporate,20-29,Attrited,IT,Science,420,1420,Male,Clerk,Married,Yes,Y,7,8,-2,0,25,No,780,16,1,5,1,1,81,4,5,4,18288,19728,8,0,3,80,0,35,74
No,Corporate,30-39,Current,Sales,Commerce,421,1421,Female,Executive,Single,Yes,Y,9,1,-2,0,34,No,346,34,5,2,1,3,94,4,5,1,2497,13718,8,9,1,80,0,8,89
Yes,Corporate,40-49,Attrited,R&D,Commerce,422,1422,Female,Analyst,Married,Yes,Y,2,3,-2,0,46,No,991,47,5,2,1,2,99,3,2,4,16103,8464,7,4,2,80,2,7,86
Yes,Corporate,10-19,Current,Finance,Science,423,1423,Female,Engineer,Single,No,Y,5,10,-2,0,18,Yes,764,30,4,2,1,3,35,3,2,2,8568,19611,0,2,2,80,2,33,48
No,Corporate,50-59,Current,HR,Science,424,1424,Male,Clerk,Single,Yes,Y,10,1,-2,0,56,Yes,783,22,1,3,1,1,86,3,3,3,15354,2640,4,9,5,80,0,34,95
No,Corporate,40-49,Attrited,IT,Science,425,1425,Male,Manager,Single,No,Y,9,8,-2,0,49,Yes,282,40,3,2,1,3,33,4,2,2,17652,19190,3,15,2,80,0,40,9
No,Corporate,30-39,Current,HR,Medical,426,1426,Male,Clerk,Married,Yes,Y,9,9,-2,0,33,Yes,366,49,4,3,1,4,84,4,3,4,18896,15774,6,10,4,80,2,17,31
Yes,Corporate,40-49,Attrited,IT,Arts,427,1427,Male,Clerk,Single,No,Y,8,9,-2,0,44,Yes,800,19,3,5,1,2,47,4,2,1,14083,11260,0,22,2,80,0,28,53
No,Corporate,30-39,Attrited,IT,Medical,428,1428,Female,Manager,Married,Yes,Y,4,3,-2,0,36,No,277,10,2,4,1,4,34,2,4,4,17478,12050,3,12,5,80,2,38,61
Yes,Corporate,30-39,Current,R&D,Commerce,429,1429,Female,Manager,Married,Yes,Y,1,2,-2,0,34,No,546,19,1,1,1,3,56,3,4,2,9174,15854,3,12,4,80,3,25,15
No,Corporate,50-59,Attrited,HR,Medical,430,1430,Female,Analyst,Married,No,Y,7,6,-2,0,52,No,688,2,1,4,1,3,28,3,4,3,11768,6195,10,9,2,80,2,11,76
Yes,Corporate,10-19,Current,R&D,Arts,431,1431,Male,Executive,Single,Yes,Y,6,1,-2,0,19,No,729,47,5,1,1,4,76,4,2,3,18936,8538,0,25,4,80,2,10,63
No,Corporate,30-39,Current,R&D,Commerce,432,1432,Female,Executive,Married,Yes,Y,4,2,-2,0,31,No,615,4,1,3,1,2,26,2,1,4,18576,15204,8,11,2,80,1,7,11
No,Corporate,20-29,Current,Sales,Arts,433,1433,Female,Engineer,Single,Yes,Y,6,4,-2,0,29,Yes,250,23,1,1,1,1,77,1,3,2,10675,5037,0,23,1,80,1,11,44
Yes,Corporate,20-29,Attrited,Finance,Engineering,434,1434,Male,Manager,Married,Yes,Y,6,0,-2,0,26,No,835,36,5,2,1,3,25,3,4,4,9046,2455,6,5,2,80,1,29,96
Yes,Corporate,30-39,Current,Finance,Engineering,435,1435,Female,Manager,Single,Yes,Y,5,3,-2,0,32,No,989,39,4,4,1,2,21,4,3,4,1929,10087,3,8,5,80,3,20,84
Yes,Corporate,40-49,Attrited,IT,Engineering,436,1436,Female,Clerk,Married,No,Y,10,5,-2,0,44,Yes,329,27,3,4,1,3,73,4,4,2,2631,3201,9,1,3,80,2,1,57
Yes,Corporate,30-39,Current,R&D,Arts,437,1437,Female,Engineer,Single,No,Y,3,4,-2,0,33,No,551,11,1,1,1,2,95,2,2,4,2611,18482,8,22,1,80,0,31,77
Yes,Corporate,20-29,Attrited,Sales,Science,438,1438,Male,Clerk,Divorced,Yes,Y,4,6,-2,0,24,No,406,50,3,4,1,1,26,2,3,4,4273,10563,1,9,5,80,3,18,28
No,Corporate,20-29,Current,IT,Engineering,439,1439,Female,Engineer,Married,No,Y,5,6,-2,0,26,No,210,30,2,5,1,2,45,2,5,3,11026,7375,2,11,5,80,1,11,90
No,Corporate,20-29,Attrited,HR,Commerce,440,1440,Male,Clerk,Divorced,No,Y,3,10,-2,0,27,No,785,3,3,2,1,1,93,2,2,4,4380,1125,0,12,2,80,1,7,41
No,Corporate,20-29,Current,R&D,Engineering,441,1441,Male,Executive,Divorced,Yes,Y,5,10,-2,0,26,Yes,859,16,1,1,1,2,32,1,3,1,10157,14474,5,18,4,80,2,18,45
No,Corporate,20-29,Attrited,IT,Engineering,442,1442,Male,Clerk,Single,No,Y,1,4,-2,0,24,Yes,950,7,5,4,1,2,83,3,5,4,5659,18620,7,25,5,80,3,29,3
No,Corporate,20-29,Current,IT,Commerce,443,1443,Male,Analyst,Single,Yes,Y,6,2,-2,0,23,Yes,835,7,4,4,1,3,65,4,5,3,13982,9510,8,19,2,80,1,39,25
No,Corporate,40-49,Attrited,R&D,Commerce,444,1444,Male,Analyst,Divorced,Yes,Y,2,5,-2,0,47,Yes,789,17,3,4,1,1,75,4,3,4,13892,16542,6,24,1,80,2,25,31
Yes,Corporate,50-59,Current,Finance,Arts,445,1445,Male,Analyst,Single,Yes,Y,10,0,-2,0,58,No,784,12,5,3,1,3,57,1,4,4,9894,18129,7,10,3,80,0,18,50
No,Corporate,30-39,Current,Sales,Arts,446,1446,Female,Analyst,Married,Yes,Y,2,6,-2,0,39,No,852,37,5,4,1,3,55,3,4,4,9854,5453,5,23,2,80,1,6,98
No,Corporate,30-39,Attrited,Sales,Commerce,447,1447,Female,Executive,Single,Yes,Y,10,8,-2,0,33,Yes,735,2,1,2,1,2,53,3,3,1,15974,16545,3,4,2,80,0,33,54
Yes,Corporate,40-49,Current,IT,Arts,448,1448,Female,Analyst,Married,No,Y,5,0,-2,0,47,No,614,33,4,1,1,1,59,3,1,2,18168,17869,4,22,2,80,2,33,81
No,Corporate,30-39,Current,HR,Arts,449,1449,Male,Clerk,Married,No,Y,5,4,-2,0,34,No,880,27,2,2,1,3,78,4,5,4,7012,3764,1,0,4,80,3,11,89
No,Corporate,10-19,Attrited,HR,Science,450,1450,Male,Executive,Married,No,Y,7,8,-2,0,19,Yes,719,48,5,2,1,1,49,2,4,2,3902,13343,6,24,4,80,0,31,49
Yes,Corporate,30-39,Current,Sales,Arts,451,1451,Male,Clerk,Single,Yes,Y,5,2,-2,0,30,No,513,14,2,1,1,4,35,2,5,4,5705,1031,2,14,4,80,2,35,40
Yes,Corporate,20-29,Current,Sales,Commerce,452,1452,Female,Engineer,Married,No,Y,2,1,-2,0,24,Yes,862,30,5,2,1,3,65,3,2,3,12502,19083,6,0,1,80,1,33,36
No,Corporate,20-29,Attrited,IT,Commerce,453,1453,Female,Clerk,Married,Yes,Y,8,4,-2,0,27,Yes,129,48,3,1,1,1,70,3,5,4,18558,17434,4,4,4,80,2,36,7
No,Corporate,50-59,Current,IT,Arts,454,1454,Male,Analyst,Single,Yes,Y,8,2,-2,0,59,Yes,314,46,5,3,1,3,79,4,5,2,14692,3818,1,10,5,80,2,20,17
No,Corporate,30-39,Current,Sales,Science,455,1455,Male,Manager,Divorced,Yes,Y,9,1,-2,0,36,Yes,357,15,1,1,1,2,32,2,5,2,4201,13987,8,6,1,80,0,24,67
Yes,Corporate,30-39,Current,IT,Medical,456,1456,Male,Clerk,Married,No,Y,10,1,-2,0,33,No,154,33,3,5,1,1,47,1,5,4,8399,10581,9,11,2,80,2,26,11
No,Corporate,40-49,Attrited,R&D,Commerce,457,1457,Female,Executive,Married,No,Y,5,10,-2,0,46,Yes,557,37,4,2,1,2,24,4,2,1,10231,19559,9,22,3,80,3,38,100
Yes,Corporate,50-59,Attrited,IT,Engineering,458,1458,Female,Executive,Divorced,Yes,Y,4,1,-2,0,51,Yes,137,36,5,1,1,4,89,2,1,2,12780,17444,5,20,1,80,3,21,67
No,Corporate,20-29,Attrited,Sales,Commerce,459,1459,Male,Engineer,Single,No,Y,2,0,-2,0,27,No,754,40,2,5,1,1,87,3,4,1,1684,16067,10,0,1,80,1,31,23
Yes,Corporate,40-49,Current,HR,Science,460,1460,Male,Engineer,Single,Yes,Y,6,9,-2,0,42,Yes,262,19,4,2,1,4,47,2,5,3,12436,6684,0,9,2,80,0,11,9
Yes,Corporate,20-29,Current,Sales,Science,461,1461,Female,Engineer,Married,No,Y,3,7,-2,0,27,Yes,778,8,5,1,1,4,23,3,2,4,9279,13404,5,17,5,80,2,2,79
No,Corporate,30-39,Current,HR,Engineering,462,1462,Male,Analyst,Married,Yes,Y,2,0,-2,0,38,No,287,50,4,5,1,1,99,2,2,2,16373,11983,4,12,3,80,1,23,60
Yes,Corporate,30-39,Current,HR,Medical,463,1463,Male,Clerk,Married,Yes,Y,8,0,-2,0,36,No,890,16,5,2,1,2,20,2,1,3,4394,15525,1,20,5,80,1,23,55
No,Corporate,30-39,Attrited,R&D,Commerce,464,1464,Female,Manager,Single,Yes,Y,6,9,-2,0,38,Yes,705,14,1,4,1,3,50,2,4,3,17428,12185,6,15,5,80,2,36,32
Yes,Corporate,30-39,Current,IT,Science,465,1465,Male,Executive,Married,Yes,Y,8,8,-2,0,30,Yes,132,49,5,1,1,2,53,3,5,4,11474,18196,7,17,2,80,0,8,2
Yes,Corporate,50-59,Current,Finance,Science,466,1466,Male,Clerk,Single,Yes,Y,4,0,-2,0,50,No,478,11,5,1,1,3,68,2,3,1,13786,10694,5,6,5,80,0,36,78
Yes,Corporate,30-39,Attrited,Finance,Arts,467,1467,Male,Manager,Single,No,Y,1,4,-2,0,38,No,901,25,2,5,1,3,35,4,4,4,2522,7303,10,23,2,80,1,31,30
No,Corporate,50-59,Attrited,Sales,Arts,468,1468,Female,Manager,Married,Yes,Y,9,10,-2,0,59,Yes,583,31,4,2,1,1,28,2,1,2,5238,19174,4,10,5,80,0,17,13
Yes,Corporate,50-59,Current,R&D,Commerce,469,1469,Male,Executive,Married,Yes,Y,1,2,-2,0,55,No,639,47,1,3,1,3,63,3,3,2,3328,15807,10,23,4,80,0,36,68
Yes,Corporate,30-39,Attrited,Finance,Arts,470,1470,Female,Engineer,Divorced,Yes,Y,6,5,-2,0,35,Yes,133,43,5,3,1,4,63,1,3,3,7603,5084,6,16,2,80,1,23,24
No,Corporate,30-39,Attrited,Sales,Engineering,471,1471,Female,Executive,Divorced,Yes,Y,6,6,-2,0,31,No,125,10,3,2,1,4,100,3,4,1,18768,4712,5,22,2,80,2,6,87
No,Corporate,30-39,Current,Sales,Science,472,1472,Male,Clerk,Single,Yes,Y,1,8,-2,0,30,Yes,551,42,5,2,1,2,29,2,5,1,9891,18232,10,13,5,80,1,14,95
Yes,Corporate,50-59,Current,IT,Commerce,473,1473,Male,Clerk,Divorced,Yes,Y,10,3,-2,0,57,Yes,508,22,5,5,1,2,61,4,4,1,17550,12451,8,24,1,80,1,1,27
Yes,Corporate,50-59,Current,Sales,Science,474,1474,Female,Engineer,Single,No,Y,3,7,-2,0,51,No,209,17,2,3,1,3,31,4,5,4,18953,10703,6,9,4,80,2,26,87
Yes,Corporate,40-49,Attrited,IT,Science,475,1475,Male,Executive,Divorced,Yes,Y,8,5,-2,0,48,No,826,31,4,3,1,3,64,4,4,4,2956,16784,8,2,2,80,1,13,69
No,Corporate,20-29,Current,Finance,Medical,476,1476,Male,Clerk,Married,No,Y,7,8,-2,0,20,No,467,34,5,3,1,4,68,1,1,1,18479,11003,8,20,4,80,1,11,30
No,Corporate,10-19,Attrited,IT,Arts,477,1477,Female,Engineer,Married,Yes,Y,7,5,-2,0,18,Yes,477,12,2,4,1,3,62,1,5,4,16387,18974,2,16,1,80,2,32,8
No,Corporate,30-39,Current,Sales,Science,478,1478,Female,Engineer,Married,No,Y,9,2,-2,0,33,No,442,4,2,4,1,3,79,4,3,3,8736,2061,10,24,4,80,3,31,47
No,Corporate,40-49,Current,HR,Medical,479,1479,Male,Executive,Single,Yes,Y,7,0,-2,0,47,Yes,242,3,1,1,1,2,83,1,1,1,4318,15801,6,22,3,80,1,8,12
Yes,Corporate,10-19,Current,HR,Science,480,1480,Female,Manager,Divorced,No,Y,8,6,-2,0,19,No,145,23,3,4,1,1,40,2,5,2,10706,13810,2,16,5,80,1,9,94
No,Corporate,30-39,Current,Finance,Arts,481,1481,Male,Manager,Divorced,No,Y,4,8,-2,0,39,No,289,7,1,4,1,2,56,2,5,1,5228,16720,5,24,4,80,2,15,60
